"","var","CF_hard","CNN_hard","ELM_hard","EWMA_hard","GARCH_hard","K-MEANS_hard","KNN_hard","NA_hard","NNET_hard","SCP_hard","SVM_hard","CF_soft","CNN_soft","ELM_soft","EWMA_soft","GARCH_soft","K-MEANS_soft","KNN_soft","NA_soft","NNET_soft","SCP_soft","SVM_soft"
"1","serie1",0.35,0.02,0.15,0.62,NA,0.17,0.21,0.62,0.15,0.02,0.13,0.35,0.07,0.15,0.62,0.08,0.17,0.25,0.62,0.15,0.09,0.13
"2","serie10",0.2,0.05,0.14,0.57,0.04,NA,0.21,0.57,0.1,0.01,0.14,0.23,0.06,0.14,0.57,0.16,NA,0.26,0.57,0.11,0.04,0.14
"3","serie100",0.16,0.07,0.12,0.18,NA,NA,0.2,NA,0.14,0.03,0.12,0.19,0.1,0.12,0.18,0.14,NA,0.28,NA,0.14,0.06,0.12
"4","serie11",0.37,0.04,0.11,0.6,NA,0.2,0.12,0.6,0.1,NA,0.13,0.37,0.05,0.11,0.6,0.06,0.2,0.22,0.6,0.1,0.05,0.13
"5","serie12",0.3,0.1,0.16,0.27,NA,0.12,0.23,0.56,0.14,0.02,0.15,0.32,0.11,0.16,0.27,0.2,0.24,0.33,0.56,0.14,0.07,0.15
"6","serie13",0.21,0.04,0.1,0.2,NA,NA,0.11,NA,0.1,0.01,0.1,0.26,0.07,0.1,0.2,0.08,0.03,0.16,NA,0.1,0.04,0.1
"7","serie14",0.43,0.09,0.23,0.5,NA,NA,0.24,0.5,0.19,0.04,0.17,0.49,0.09,0.23,0.5,0.25,NA,0.34,0.5,0.19,0.08,0.17
"8","serie15",0.1,0.03,0.08,0.29,NA,NA,0.08,NA,0.08,0.01,0.08,0.15,0.05,0.08,0.29,0.06,0.06,0.17,NA,0.08,0.03,0.08
"9","serie16",0.2,0.02,0.13,0.5,0.01,NA,0.14,0.2,0.11,0.01,0.1,0.22,0.03,0.13,0.5,0.01,0.01,0.2,0.2,0.11,0.06,0.1
"10","serie17",0.08,0.01,0.02,1,NA,NA,0.04,1,0.02,NA,0.02,0.08,0.01,0.02,1,0.05,NA,0.04,1,0.02,0,0.02
"11","serie18",0.48,0.08,0.14,0.29,0.02,NA,0.21,0.5,0.12,NA,0.13,0.48,0.09,0.15,0.29,0.14,NA,0.34,0.5,0.12,0.06,0.14
"12","serie19",0.18,0.07,0.14,0.46,0.01,0.05,0.13,0.57,0.13,0.02,0.14,0.25,0.09,0.14,0.46,0.13,0.05,0.22,0.57,0.13,0.06,0.14
"13","serie2",0.71,0.12,0.27,0.86,NA,NA,0.15,0.77,0.2,NA,0.21,0.71,0.13,0.27,0.86,0.12,NA,0.32,0.77,0.2,0.21,0.21
"14","serie20",0.16,0.08,0.19,0.5,0.01,NA,0.12,0.29,0.14,NA,0.27,0.2,0.1,0.19,0.5,0.14,NA,0.22,0.29,0.14,0.06,0.27
"15","serie21",0.61,0.08,0.17,0.5,NA,NA,0.19,0.4,0.17,0.01,0.14,0.61,0.09,0.17,0.5,0.18,NA,0.3,0.4,0.17,0.06,0.14
"16","serie22",0.04,NA,0.05,NA,0.02,NA,0.07,NA,0.06,0.01,0.06,0.12,0.02,0.05,NA,0.07,NA,0.1,NA,0.06,0.02,0.06
"17","serie23",0.48,0.05,0.17,0.24,NA,NA,0.2,0.42,0.01,NA,0.01,0.51,0.08,0.17,0.24,0.22,0.11,0.34,0.42,0.08,0.09,0.08
"18","serie24",0.11,0.07,0.12,NA,0.01,NA,0.15,NA,0.12,0.02,0.11,0.17,0.08,0.12,NA,0.11,NA,0.27,NA,0.12,0.04,0.11
"19","serie25",0.05,0.02,0.03,0.67,NA,NA,0.04,0.67,0.03,NA,0.03,0.09,0.02,0.03,0.67,0.05,NA,0.08,0.67,0.03,0.01,0.03
"20","serie26",0.18,0.19,0.16,0.31,0.01,NA,0.18,0.31,0.13,0.02,0.13,0.23,0.19,0.16,0.31,0.12,NA,0.3,0.31,0.13,0.06,0.13
"21","serie27",0.09,0.09,0.18,0.2,0.01,NA,0.1,0.2,0.12,0.01,0.58,0.16,0.09,0.18,0.2,0.1,NA,0.26,0.2,0.12,0.04,0.58
"22","serie28",0.05,0.02,0.08,NA,NA,NA,0.08,NA,0.03,0.01,0.03,0.07,0.02,0.08,NA,0.09,NA,0.08,NA,0.03,0.01,0.03
"23","serie29",0.2,0.02,0.06,0.4,NA,NA,0.09,0.67,0.06,NA,0.06,0.24,0.02,0.06,0.4,0.06,NA,0.15,0.67,0.06,0.03,0.06
"24","serie3",0.17,0.07,0.08,0.5,NA,NA,0.15,0.5,0.08,NA,0.09,0.19,0.07,0.08,0.5,0.1,NA,0.2,0.5,0.08,0.04,0.09
"25","serie30",0.18,0.06,0.11,0.67,0.02,NA,0.2,0.67,0.12,NA,0.11,0.2,0.07,0.11,0.67,0.13,NA,0.28,0.67,0.12,0.05,0.11
"26","serie31",0.17,0.08,0.12,0.44,0.02,NA,0.21,0.6,0.08,0.01,0.09,0.21,0.08,0.12,0.44,0.1,NA,0.23,0.6,0.08,0.04,0.09
"27","serie32",0.24,0.05,0.16,0.25,0.02,0.12,0.2,0.13,0.17,NA,0.19,0.31,0.08,0.16,0.25,0.21,0.12,0.3,0.13,0.17,0.06,0.19
"28","serie33",0.19,0.02,0.11,0.67,NA,0.08,0.11,0.55,0.12,0.01,0.11,0.21,0.06,0.11,0.67,0.11,0.18,0.23,0.55,0.12,0.05,0.11
"29","serie34",0.05,0.01,0.02,1,0.01,NA,NA,1,0.01,NA,0.01,0.05,0.01,0.02,1,0.01,NA,0.01,1,0.01,0,0.01
"30","serie35",0.2,0.02,0.05,0.8,NA,NA,0.05,0.8,0.05,0.01,0.04,0.28,0.03,0.05,0.8,0.06,0.1,0.11,0.8,0.05,0.02,0.04
"31","serie36",0.08,0.02,0.06,0.4,NA,NA,0.12,NA,0.06,0.01,0.05,0.11,0.03,0.06,0.4,0.07,NA,0.12,NA,0.06,0.02,0.05
"32","serie37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","serie38",0.04,0.04,NA,NA,NA,NA,0.08,NA,0.05,NA,0.05,0.05,0.04,NA,NA,0.05,NA,0.12,NA,0.05,0.02,0.05
"34","serie39",0.14,0.1,0.18,0.59,NA,NA,0.1,0.29,0.15,0.02,0.19,0.22,0.1,0.18,0.59,0.16,NA,0.31,0.29,0.15,0.06,0.19
"35","serie4",0.08,NA,0.09,0.5,NA,NA,0.07,0.29,0.09,NA,0.06,0.11,NA,0.09,0.5,0.09,NA,0.16,0.29,0.09,0.02,0.06
"36","serie40",0.52,0.01,0.13,0.67,0.03,NA,0.16,0.82,0.13,0.02,0.13,0.52,0.03,0.14,0.67,0.14,NA,0.24,0.82,0.13,0.06,0.15
"37","serie41",0.23,NA,0.03,0.53,0.06,NA,0.21,0.25,0.16,0.02,0.31,0.29,NA,0.11,0.53,0.26,NA,0.35,0.25,0.17,0.08,0.32
"38","serie42",0.17,0.12,0.21,0.22,0.02,NA,0.19,0.32,0.2,0.02,0.24,0.28,0.13,0.21,0.22,0.18,NA,0.33,0.32,0.2,0.09,0.24
"39","serie43",0.3,0.08,0.19,0.4,0.01,NA,0.14,0.5,0.17,0.02,0.18,0.35,0.1,0.19,0.4,0.19,NA,0.32,0.5,0.17,0.09,0.18
"40","serie44",0.27,0.09,0.2,0.67,0.03,NA,0.19,0.4,0.16,0.01,0.17,0.27,0.12,0.2,0.67,0.2,0.1,0.28,0.4,0.16,0.06,0.17
"41","serie45",0.15,0.03,0.07,0.57,NA,0.25,0.09,0.75,0.08,NA,0.06,0.23,0.04,0.07,0.57,NA,0.25,0.19,0.75,0.08,0.03,0.06
"42","serie46",0.14,0.03,0.04,0.5,NA,NA,0.14,0.5,0.05,0.01,0.04,0.14,0.03,0.04,0.5,0.06,NA,0.14,0.5,0.05,0.02,0.04
"43","serie47",0.54,0.05,0.23,0.5,0.02,NA,0.18,0.7,0.19,NA,0.21,0.57,0.07,0.23,0.5,0.02,0.11,0.34,0.7,0.19,0.07,0.21
"44","serie48",0.16,0.07,0.18,0.27,0.01,NA,0.17,0.14,0.21,NA,0.15,0.26,0.07,0.18,0.27,0.14,NA,0.31,0.14,0.21,0.07,0.15
"45","serie49",0.33,0.04,0.2,0.55,0.02,NA,0.32,0.32,0.21,NA,0.2,0.39,0.07,0.2,0.55,0.07,NA,0.44,0.32,0.21,0.08,0.2
"46","serie5",0.08,0.02,0.03,NA,NA,NA,0.09,NA,0.03,NA,0.03,0.15,0.02,0.03,NA,0.05,NA,0.09,NA,0.03,0.01,0.03
"47","serie50",0.1,0.02,0.09,NA,0.02,NA,0.12,0.44,0.09,NA,0.08,0.14,0.04,0.09,NA,0.13,NA,0.16,0.44,0.09,0.02,0.08
"48","serie51",0.25,0.08,0.16,0.56,0.01,NA,0.15,0.47,0.16,0.03,0.15,0.33,0.11,0.16,0.56,0.15,NA,0.32,0.47,0.16,0.08,0.15
"49","serie52",0.22,NA,0.08,0.67,NA,0.22,0.04,0.8,0.07,NA,0.07,0.22,0.04,0.08,0.67,0.09,0.61,0.13,0.8,0.07,0.04,0.07
"50","serie53",0.25,0.11,0.16,0.33,0.01,0.09,0.16,0.5,0.15,0.02,0.19,0.34,0.12,0.16,0.33,0.2,0.21,0.35,0.5,0.15,0.09,0.19
"51","serie54",0.41,0.08,0.2,0.72,0.01,0.1,0.19,0.61,0.18,NA,0.16,0.42,0.12,0.21,0.72,0.1,0.1,0.34,0.61,0.19,0.07,0.17
"52","serie55",0.55,0.07,0.14,0.67,NA,NA,0.25,0.74,0.15,0.02,0.13,0.55,0.09,0.14,0.67,0.15,0.04,0.37,0.74,0.15,0.06,0.13
"53","serie56",0.06,0.01,0.02,1,NA,NA,0.04,1,0.02,NA,0.01,0.06,0.01,0.02,1,0.02,NA,0.04,1,0.02,0,0.01
"54","serie57",0.27,0.04,0.12,0.5,0.01,NA,0.11,0.36,0.12,0.01,0.16,0.27,0.06,0.12,0.5,0.07,NA,0.2,0.36,0.12,0.04,0.16
"55","serie58",NA,0.02,0.05,NA,NA,NA,0.09,NA,0.05,NA,0.04,0,0.03,0.05,NA,0.04,NA,0.12,NA,0.05,0.02,0.04
"56","serie59",0.3,NA,0.17,0.17,0.02,NA,0.13,0.43,0.14,NA,0.15,0.37,NA,0.17,0.17,0.16,NA,0.27,0.43,0.14,0.06,0.15
"57","serie6",0.2,0.06,0.11,0.67,NA,NA,0.11,0.5,0.09,NA,0.09,0.24,0.06,0.11,0.67,0.12,NA,0.18,0.5,0.09,0.03,0.09
"58","serie60",0.11,0.15,0.24,0.15,NA,NA,0.16,0.29,0.13,NA,0.12,0.16,0.15,0.24,0.15,0.23,NA,0.31,0.29,0.13,0.06,0.12
"59","serie61",0.28,0.06,0.18,0.7,NA,NA,0.22,0.7,0.21,0.01,0.15,0.28,0.09,0.18,0.7,0.14,NA,0.32,0.7,0.21,0.08,0.15
"60","serie62",0.29,0.1,0.16,0.5,NA,NA,0.25,0.67,0.14,0.01,0.15,0.32,0.1,0.16,0.5,0.16,NA,0.29,0.67,0.14,0.07,0.15
"61","serie63",0.26,0.08,0.16,0.46,0.01,NA,0.23,0.33,0.14,0.01,0.14,0.26,0.08,0.16,0.46,0.12,NA,0.3,0.33,0.14,0.06,0.14
"62","serie64",0.43,0.08,0.11,0.77,NA,0.27,0.19,0.67,0.11,NA,0.09,0.43,0.09,0.11,0.77,0.14,0.39,0.26,0.67,0.11,0.06,0.09
"63","serie65",0.12,0.06,0.1,0.6,0.02,0.31,0.22,NA,0.1,0.02,0.08,0.18,0.07,0.1,0.6,0.12,0.45,0.23,NA,0.1,0.04,0.08
"64","serie66",0.04,0.01,0.02,NA,NA,NA,NA,NA,0.01,NA,0.02,0.04,0.01,0.02,NA,0.02,0.01,0.04,NA,0.01,0,0.02
"65","serie67",0.36,0.08,0.24,0.72,0.02,NA,0.12,0.67,0.2,0.03,0.18,0.39,0.1,0.24,0.72,0.12,NA,0.34,0.67,0.21,0.1,0.18
"66","serie68",0.35,0.07,0.21,0.48,0.05,0.08,0.23,0.55,0.19,0.02,0.19,0.36,0.11,0.21,0.48,0.19,0.08,0.38,0.55,0.19,0.08,0.19
"67","serie69",0.32,0.03,0.11,0.6,NA,NA,0.17,0.6,0.11,NA,0.08,0.33,0.05,0.11,0.6,0.11,0.22,0.2,0.6,0.11,0.03,0.08
"68","serie7",0.14,0.03,0.07,0.33,NA,0.17,0.12,0.57,0.05,0.01,0.11,0.16,0.04,0.07,0.33,0.09,0.17,0.14,0.57,0.05,0.03,0.11
"69","serie70",0.39,0.02,0.12,0.71,0.02,NA,0.11,0.62,0.12,0.03,0.12,0.39,0.04,0.12,0.71,0.09,NA,0.22,0.62,0.12,0.08,0.12
"70","serie71",0.31,0.12,0.2,0.48,NA,NA,0.26,0.67,0.21,NA,0.28,0.32,0.13,0.2,0.48,0.21,NA,0.35,0.67,0.21,0.09,0.28
"71","serie72",0.19,0.02,0.11,NA,0.03,NA,0.12,0.4,0.12,0.02,0.11,0.24,0.03,0.11,NA,0.12,NA,0.26,0.4,0.12,0.06,0.11
"72","serie73",0.25,0.05,0.2,0.12,NA,0.09,0.23,0.33,0.19,NA,0.19,0.29,0.08,0.2,0.12,0.19,0.19,0.43,0.33,0.19,0.07,0.19
"73","serie74",0.24,NA,0.1,0.5,NA,NA,0.14,0.67,0.08,0.01,0.08,0.3,NA,0.1,0.5,0.1,NA,0.16,0.67,0.08,0.04,0.08
"74","serie75",0.2,0.07,0.16,0.44,0.02,0.09,0.18,0.35,0.17,0.01,0.15,0.24,0.09,0.16,0.44,0.1,0.17,0.23,0.35,0.17,0.07,0.15
"75","serie76",0.15,0.03,0.07,0.75,NA,0.13,0.12,0.57,0.07,0.01,0.07,0.17,0.04,0.07,0.75,0.1,0.26,0.18,0.57,0.07,0.03,0.07
"76","serie77",0.6,0.15,0.16,0.55,0.02,0.1,0.11,0.67,0.17,0.01,0.2,0.6,0.15,0.16,0.55,0.28,0.27,0.32,0.67,0.17,0.07,0.2
"77","serie78",0.67,0.07,0.19,0.57,0.01,NA,0.24,0.57,0.18,NA,0.23,0.67,0.1,0.19,0.57,0.11,NA,0.34,0.57,0.18,0.08,0.23
"78","serie79",0.16,0.01,0.07,0.57,NA,NA,0.08,0.57,0.08,NA,0.06,0.16,0.03,0.07,0.57,0.06,0.1,0.11,0.57,0.08,0.03,0.06
"79","serie8",0.23,0.03,0.06,1,NA,NA,0.15,0.67,0.06,NA,0.06,0.23,0.03,0.06,1,0.09,NA,0.15,0.67,0.06,0.02,0.06
"80","serie80",0.1,0.08,0.16,0.38,NA,NA,0.18,0.27,0.13,0.03,0.16,0.24,0.08,0.17,0.38,0.17,NA,0.3,0.27,0.14,0.08,0.16
"81","serie81",0.27,0.06,0.16,0.67,0.01,0.08,0.19,0.59,0.15,0.01,0.15,0.29,0.07,0.16,0.67,0.11,0.13,0.34,0.59,0.15,0.05,0.15
"82","serie82",0.06,0.03,0.11,NA,0.01,NA,0.07,0.25,0.08,NA,0.1,0.12,0.03,0.11,NA,0.08,NA,0.16,0.25,0.09,0.04,0.1
"83","serie83",0.32,0.04,0.15,0.29,0.02,0.05,0.17,0.4,0.16,NA,0.13,0.32,0.09,0.15,0.29,0.11,0.09,0.29,0.4,0.16,0.07,0.13
"84","serie84",0.04,0.02,0.07,0.33,NA,NA,0.09,0.33,0.08,0.01,0.06,0.1,0.04,0.07,0.33,0.06,NA,0.09,0.33,0.08,0.02,0.06
"85","serie85",0.15,0.05,0.11,0.67,NA,NA,0.18,0.22,0.12,0.01,0.1,0.2,0.08,0.11,0.67,0.15,NA,0.24,0.22,0.12,0.02,0.1
"86","serie86",0.4,0.09,0.16,0.27,0.02,NA,0.31,0.27,0.2,0.01,0.15,0.43,0.12,0.16,0.27,0.22,NA,0.37,0.27,0.2,0.06,0.15
"87","serie87",0.09,0.04,0.11,NA,NA,NA,0.14,0.44,0.09,NA,0.08,0.12,0.05,0.11,NA,0.16,0.29,0.18,0.44,0.09,0.05,0.08
"88","serie88",0.05,0.04,0.15,NA,0.01,NA,0.1,NA,0.16,0.01,0.17,0.12,0.06,0.16,NA,0.01,0.02,0.23,NA,0.16,0.06,0.17
"89","serie89",0.59,0.09,0.16,0.53,0.05,0.14,0.09,0.78,0.14,0.02,0.15,0.65,0.09,0.16,0.53,0.13,0.23,0.23,0.78,0.14,0.07,0.16
"90","serie9",0.29,0.09,0.13,0.57,0.02,0.05,0.1,0.46,0.11,NA,0.11,0.31,0.1,0.13,0.57,0.2,0.11,0.27,0.46,0.11,0.04,0.11
"91","serie90",0.26,0.1,0.2,0.57,0.01,NA,0.17,0.67,0.11,0.01,0.67,0.29,0.1,0.2,0.57,0.09,NA,0.29,0.67,0.11,0.07,0.67
"92","serie91",0.14,0.03,0.08,0.75,0.01,0.14,0.08,0.57,0.07,0.01,0.11,0.17,0.04,0.08,0.75,0.04,0.14,0.15,0.57,0.07,0.03,0.11
"93","serie92",0.28,0.03,0.09,0.4,NA,0.2,0.15,0.77,0.1,0.01,0.09,0.28,0.06,0.09,0.4,0.12,0.37,0.22,0.77,0.1,0.05,0.09
"94","serie93",0.33,0.06,0.2,0.5,0.01,0.11,0.25,0.33,0.19,0.01,0.18,0.44,0.09,0.2,0.5,0.2,0.11,0.45,0.33,0.19,0.08,0.19
"95","serie94",0.05,0.04,0.09,0.8,0.01,NA,0.04,0.5,0.04,NA,0.05,0.05,0.04,0.09,0.8,0.03,NA,0.09,0.5,0.04,0.02,0.05
"96","serie95",0.31,0.11,0.22,0.55,NA,NA,0.19,0.55,0.21,0.01,0.22,0.37,0.12,0.22,0.55,0.2,NA,0.35,0.55,0.21,0.12,0.22
"97","serie96",0.17,0.03,0.07,0.75,0.01,NA,0.11,0.33,0.07,0.01,0.07,0.17,0.04,0.07,0.75,0.07,NA,0.15,0.33,0.07,0.03,0.07
"98","serie97",0.37,0.08,0.15,0.46,NA,NA,0.14,0.67,0.12,0.01,0.11,0.37,0.08,0.15,0.46,0.17,NA,0.29,0.67,0.12,0.06,0.11
"99","serie98",0.2,0.09,0.15,0.38,NA,NA,0.06,0.47,0.16,0.02,0.13,0.3,0.11,0.15,0.38,0.09,NA,0.2,0.47,0.16,0.07,0.13
"100","serie99",0.35,0.08,0.23,0.84,NA,NA,0.1,0.71,0.12,NA,0.12,0.36,0.08,0.23,0.84,0.25,NA,0.23,0.71,0.12,0.07,0.12
